id,macro_region,state_ut,district,hotspot_name,latitude,longitude,priority_for_screening,hotspot_type,dataset_type,coordinate_role,not_an_active_event,not_an_authoritative_landslide_inventory,display_rule,source_basis
HIM-023,Himalayas,Uttarakhand,Chamoli,Joshimath,30.556,79.564,high,mountain_corridor,representative_hotspot_reference,approximate_cluster_reference_point,True,True,Reference cluster only; use dynamic 7-color status only when supported by authoritative/current evidence.,Curated representative shortlist informed by ISRO/NRSC Landslide Atlas coverage and regional landslide-prone terrain; replace/augment with authoritative event geometries for production.
HIM-024,Himalayas,Uttarakhand,Chamoli,Badrinath corridor,30.744,79.493,high,mountain_corridor,representative_hotspot_reference,approximate_cluster_reference_point,True,True,Reference cluster only; use dynamic 7-color status only when supported by authoritative/current evidence.,Curated representative shortlist informed by ISRO/NRSC Landslide Atlas coverage and regional landslide-prone terrain; replace/augment with authoritative event geometries for production.
HIM-025,Himalayas,Uttarakhand,Rudraprayag,Rudraprayag,30.284,78.981,high,mountain_corridor,representative_hotspot_reference,approximate_cluster_reference_point,True,True,Reference cluster only; use dynamic 7-color status only when supported by authoritative/current evidence.,Curated representative shortlist informed by ISRO/NRSC Landslide Atlas coverage and regional landslide-prone terrain; replace/augment with authoritative event geometries for production.
HIM-026,Himalayas,Uttarakhand,Uttarkashi,Uttarkashi,30.7268,78.4354,high,mountain_corridor,representative_hotspot_reference,approximate_cluster_reference_point,True,True,Reference cluster only; use dynamic 7-color status only when supported by authoritative/current evidence.,Curated representative shortlist informed by ISRO/NRSC Landslide Atlas coverage and regional landslide-prone terrain; replace/augment with authoritative event geometries for production.
HIM-027,Himalayas,Uttarakhand,Pithoragarh,Pithoragarh-Dharchula corridor,29.582,80.218,high,mountain_corridor,representative_hotspot_reference,approximate_cluster_reference_point,True,True,Reference cluster only; use dynamic 7-color status only when supported by authoritative/current evidence.,Curated representative shortlist informed by ISRO/NRSC Landslide Atlas coverage and regional landslide-prone terrain; replace/augment with authoritative event geometries for production.
HIM-028,Himalayas,Uttarakhand,Tehri Garhwal,Tehri,30.378,78.48,medium,mountain_terrain,representative_hotspot_reference,approximate_cluster_reference_point,True,True,Reference cluster only; use dynamic 7-color status only when supported by authoritative/current evidence.,Curated representative shortlist informed by ISRO/NRSC Landslide Atlas coverage and regional landslide-prone terrain; replace/augment with authoritative event geometries for production.
HIM-029,Eastern Himalaya,West Bengal,Darjeeling,Darjeeling,27.036,88.2627,high,mountain_terrain,representative_hotspot_reference,approximate_cluster_reference_point,True,True,Reference cluster only; use dynamic 7-color status only when supported by authoritative/current evidence.,Curated representative shortlist informed by ISRO/NRSC Landslide Atlas coverage and regional landslide-prone terrain; replace/augment with authoritative event geometries for production.
HIM-030,Eastern Himalaya,West Bengal,Kalimpong,Kalimpong-Teesta corridor,27.06,88.47,high,mountain_corridor,representative_hotspot_reference,approximate_cluster_reference_point,True,True,Reference cluster only; use dynamic 7-color status only when supported by authoritative/current evidence.,Curated representative shortlist informed by ISRO/NRSC Landslide Atlas coverage and regional landslide-prone terrain; replace/augment with authoritative event geometries for production.
NER-001,North Eastern Region,Sikkim,Mangan,Mangan,27.51,88.53,high,mountain_terrain,representative_hotspot_reference,approximate_cluster_reference_point,True,True,Reference cluster only; use dynamic 7-color status only when supported by authoritative/current evidence.,Curated representative shortlist informed by ISRO/NRSC Landslide Atlas coverage and regional landslide-prone terrain; replace/augment with authoritative event geometries for production.
NER-002,North Eastern Region,Sikkim,Mangan,Chungthang,27.62,88.64,high,mountain_corridor,representative_hotspot_reference,approximate_cluster_reference_point,True,True,Reference cluster only; use dynamic 7-color status only when supported by authoritative/current evidence.,Curated representative shortlist informed by ISRO/NRSC Landslide Atlas coverage and regional landslide-prone terrain; replace/augment with authoritative event geometries for production.
NER-003,North Eastern Region,Sikkim,Mangan,Lachen,27.72,88.56,high,mountain_corridor,representative_hotspot_reference,approximate_cluster_reference_point,True,True,Reference cluster only; use dynamic 7-color status only when supported by authoritative/current evidence.,Curated representative shortlist informed by ISRO/NRSC Landslide Atlas coverage and regional landslide-prone terrain; replace/augment with authoritative event geometries for production.
NER-004,North Eastern Region,Sikkim,Mangan,Lachung,27.69,88.74,high,mountain_corridor,representative_hotspot_reference,approximate_cluster_reference_point,True,True,Reference cluster only; use dynamic 7-color status only when supported by authoritative/current evidence.,Curated representative shortlist informed by ISRO/NRSC Landslide Atlas coverage and regional landslide-prone terrain; replace/augment with authoritative event geometries for production.
NER-005,North Eastern Region,Sikkim,Gangtok,Gangtok,27.3389,88.6065,high,urban_hillslope,representative_hotspot_reference,approximate_cluster_reference_point,True,True,Reference cluster only; use dynamic 7-color status only when supported by authoritative/current evidence.,Curated representative shortlist informed by ISRO/NRSC Landslide Atlas coverage and regional landslide-prone terrain; replace/augment with authoritative event geometries for production.
NER-006,North Eastern Region,Sikkim,Gangtok,Singtam,27.23,88.5,high,highway_corridor,representative_hotspot_reference,approximate_cluster_reference_point,True,True,Reference cluster only; use dynamic 7-color status only when supported by authoritative/current evidence.,Curated representative shortlist informed by ISRO/NRSC Landslide Atlas coverage and regional landslide-prone terrain; replace/augment with authoritative event geometries for production.
NER-007,North Eastern Region,Sikkim,Pakyong,Pakyong,27.23,88.61,medium,mountain_terrain,representative_hotspot_reference,approximate_cluster_reference_point,True,True,Reference cluster only; use dynamic 7-color status only when supported by authoritative/current evidence.,Curated representative shortlist informed by ISRO/NRSC Landslide Atlas coverage and regional landslide-prone terrain; replace/augment with authoritative event geometries for production.
NER-008,North Eastern Region,Sikkim,Gyalshing,Gyalshing,27.29,88.26,medium,mountain_terrain,representative_hotspot_reference,approximate_cluster_reference_point,True,True,Reference cluster only; use dynamic 7-color status only when supported by authoritative/current evidence.,Curated representative shortlist informed by ISRO/NRSC Landslide Atlas coverage and regional landslide-prone terrain; replace/augment with authoritative event geometries for production.
NER-009,North Eastern Region,Arunachal Pradesh,Tawang,Tawang,27.586,91.865,high,mountain_terrain,representative_hotspot_reference,approximate_cluster_reference_point,True,True,Reference cluster only; use dynamic 7-color status only when supported by authoritative/current evidence.,Curated representative shortlist informed by ISRO/NRSC Landslide Atlas coverage and regional landslide-prone terrain; replace/augment with authoritative event geometries for production.
NER-010,North Eastern Region,Arunachal Pradesh,West Kameng,Bomdila,27.264,92.424,high,mountain_corridor,representative_hotspot_reference,approximate_cluster_reference_point,True,True,Reference cluster only; use dynamic 7-color status only when supported by authoritative/current evidence.,Curated representative shortlist informed by ISRO/NRSC Landslide Atlas coverage and regional landslide-prone terrain; replace/augment with authoritative event geometries for production.
NER-011,North Eastern Region,Arunachal Pradesh,West Kameng,Bhalukpong-Tawang corridor,27.01,92.64,high,highway_corridor,representative_hotspot_reference,approximate_cluster_reference_point,True,True,Reference cluster only; use dynamic 7-color status only when supported by authoritative/current evidence.,Curated representative shortlist informed by ISRO/NRSC Landslide Atlas coverage and regional landslide-prone terrain; replace/augment with authoritative event geometries for production.
NER-012,North Eastern Region,Arunachal Pradesh,East Kameng,Seppa,27.365,93.04,medium,mountain_terrain,representative_hotspot_reference,approximate_cluster_reference_point,True,True,Reference cluster only; use dynamic 7-color status only when supported by authoritative/current evidence.,Curated representative shortlist informed by ISRO/NRSC Landslide Atlas coverage and regional landslide-prone terrain; replace/augment with authoritative event geometries for production.
NER-013,North Eastern Region,Arunachal Pradesh,Papum Pare,Itanagar,27.0844,93.6053,medium,urban_hillslope,representative_hotspot_reference,approximate_cluster_reference_point,True,True,Reference cluster only; use dynamic 7-color status only when supported by authoritative/current evidence.,Curated representative shortlist informed by ISRO/NRSC Landslide Atlas coverage and regional landslide-prone terrain; replace/augment with authoritative event geometries for production.
NER-014,North Eastern Region,Arunachal Pradesh,Upper Subansiri,Daporijo,27.987,94.222,high,mountain_terrain,representative_hotspot_reference,approximate_cluster_reference_point,True,True,Reference cluster only; use dynamic 7-color status only when supported by authoritative/current evidence.,Curated representative shortlist informed by ISRO/NRSC Landslide Atlas coverage and regional landslide-prone terrain; replace/augment with authoritative event geometries for production.
NER-015,North Eastern Region,Arunachal Pradesh,Siang,Yingkiong,28.615,95.047,high,mountain_terrain,representative_hotspot_reference,approximate_cluster_reference_point,True,True,Reference cluster only; use dynamic 7-color status only when supported by authoritative/current evidence.,Curated representative shortlist informed by ISRO/NRSC Landslide Atlas coverage and regional landslide-prone terrain; replace/augment with authoritative event geometries for production.
NER-016,North Eastern Region,Arunachal Pradesh,West Siang,Aalo,28.17,94.8,high,mountain_terrain,representative_hotspot_reference,approximate_cluster_reference_point,True,True,Reference cluster only; use dynamic 7-color status only when supported by authoritative/current evidence.,Curated representative shortlist informed by ISRO/NRSC Landslide Atlas coverage and regional landslide-prone terrain; replace/augment with authoritative event geometries for production.
NER-017,North Eastern Region,Arunachal Pradesh,Lower Dibang Valley,Roing,28.13,95.84,high,mountain_corridor,representative_hotspot_reference,approximate_cluster_reference_point,True,True,Reference cluster only; use dynamic 7-color status only when supported by authoritative/current evidence.,Curated representative shortlist informed by ISRO/NRSC Landslide Atlas coverage and regional landslide-prone terrain; replace/augment with authoritative event geometries for production.
NER-018,North Eastern Region,Arunachal Pradesh,Dibang Valley,Anini,28.79,95.9,high,mountain_terrain,representative_hotspot_reference,approximate_cluster_reference_point,True,True,Reference cluster only; use dynamic 7-color status only when supported by authoritative/current evidence.,Curated representative shortlist informed by ISRO/NRSC Landslide Atlas coverage and regional landslide-prone terrain; replace/augment with authoritative event geometries for production.
NER-019,North Eastern Region,Arunachal Pradesh,Lohit,Tezu,27.92,96.16,medium,mountain_terrain,representative_hotspot_reference,approximate_cluster_reference_point,True,True,Reference cluster only; use dynamic 7-color status only when supported by authoritative/current evidence.,Curated representative shortlist informed by ISRO/NRSC Landslide Atlas coverage and regional landslide-prone terrain; replace/augment with authoritative event geometries for production.
NER-020,North Eastern Region,Arunachal Pradesh,Changlang,Changlang,27.12,96.72,medium,mountain_terrain,representative_hotspot_reference,approximate_cluster_reference_point,True,True,Reference cluster only; use dynamic 7-color status only when supported by authoritative/current evidence.,Curated representative shortlist informed by ISRO/NRSC Landslide Atlas coverage and regional landslide-prone terrain; replace/augment with authoritative event geometries for production.
NER-021,North Eastern Region,Meghalaya,East Khasi Hills,Shillong,25.5788,91.8933,high,urban_hillslope,representative_hotspot_reference,approximate_cluster_reference_point,True,True,Reference cluster only; use dynamic 7-color status only when supported by authoritative/current evidence.,Curated representative shortlist informed by ISRO/NRSC Landslide Atlas coverage and regional landslide-prone terrain; replace/augment with authoritative event geometries for production.
NER-022,North Eastern Region,Meghalaya,East Khasi Hills,Sohra-Cherrapunji,25.27,91.73,high,rainfall_slope,representative_hotspot_reference,approximate_cluster_reference_point,True,True,Reference cluster only; use dynamic 7-color status only when supported by authoritative/current evidence.,Curated representative shortlist informed by ISRO/NRSC Landslide Atlas coverage and regional landslide-prone terrain; replace/augment with authoritative event geometries for production.
NER-023,North Eastern Region,Meghalaya,East Khasi Hills,Mawsynram,25.3,91.58,high,rainfall_slope,representative_hotspot_reference,approximate_cluster_reference_point,True,True,Reference cluster only; use dynamic 7-color status only when supported by authoritative/current evidence.,Curated representative shortlist informed by ISRO/NRSC Landslide Atlas coverage and regional landslide-prone terrain; replace/augment with authoritative event geometries for production.
NER-024,North Eastern Region,Meghalaya,Ri-Bhoi,Nongpoh,25.9,91.88,medium,highway_corridor,representative_hotspot_reference,approximate_cluster_reference_point,True,True,Reference cluster only; use dynamic 7-color status only when supported by authoritative/current evidence.,Curated representative shortlist informed by ISRO/NRSC Landslide Atlas coverage and regional landslide-prone terrain; replace/augment with authoritative event geometries for production.
NER-025,North Eastern Region,Meghalaya,West Khasi Hills,Nongstoin,25.52,91.27,medium,mountain_terrain,representative_hotspot_reference,approximate_cluster_reference_point,True,True,Reference cluster only; use dynamic 7-color status only when supported by authoritative/current evidence.,Curated representative shortlist informed by ISRO/NRSC Landslide Atlas coverage and regional landslide-prone terrain; replace/augment with authoritative event geometries for production.
NER-026,North Eastern Region,Meghalaya,West Jaintia Hills,Jowai,25.45,92.2,medium,mountain_terrain,representative_hotspot_reference,approximate_cluster_reference_point,True,True,Reference cluster only; use dynamic 7-color status only when supported by authoritative/current evidence.,Curated representative shortlist informed by ISRO/NRSC Landslide Atlas coverage and regional landslide-prone terrain; replace/augment with authoritative event geometries for production.
NER-027,North Eastern Region,Mizoram,Aizawl,Aizawl,23.7271,92.7176,high,urban_hillslope,representative_hotspot_reference,approximate_cluster_reference_point,True,True,Reference cluster only; use dynamic 7-color status only when supported by authoritative/current evidence.,Curated representative shortlist informed by ISRO/NRSC Landslide Atlas coverage and regional landslide-prone terrain; replace/augment with authoritative event geometries for production.
NER-028,North Eastern Region,Mizoram,Lunglei,Lunglei,22.89,92.74,high,mountain_terrain,representative_hotspot_reference,approximate_cluster_reference_point,True,True,Reference cluster only; use dynamic 7-color status only when supported by authoritative/current evidence.,Curated representative shortlist informed by ISRO/NRSC Landslide Atlas coverage and regional landslide-prone terrain; replace/augment with authoritative event geometries for production.
NER-029,North Eastern Region,Mizoram,Champhai,Champhai,23.46,93.33,high,mountain_terrain,representative_hotspot_reference,approximate_cluster_reference_point,True,True,Reference cluster only; use dynamic 7-color status only when supported by authoritative/current evidence.,Curated representative shortlist informed by ISRO/NRSC Landslide Atlas coverage and regional landslide-prone terrain; replace/augment with authoritative event geometries for production.
NER-030,North Eastern Region,Mizoram,Serchhip,Serchhip,23.3,92.85,medium,mountain_terrain,representative_hotspot_reference,approximate_cluster_reference_point,True,True,Reference cluster only; use dynamic 7-color status only when supported by authoritative/current evidence.,Curated representative shortlist informed by ISRO/NRSC Landslide Atlas coverage and regional landslide-prone terrain; replace/augment with authoritative event geometries for production.
NER-031,North Eastern Region,Mizoram,Lawngtlai,Lawngtlai,22.53,92.89,medium,mountain_terrain,representative_hotspot_reference,approximate_cluster_reference_point,True,True,Reference cluster only; use dynamic 7-color status only when supported by authoritative/current evidence.,Curated representative shortlist informed by ISRO/NRSC Landslide Atlas coverage and regional landslide-prone terrain; replace/augment with authoritative event geometries for production.
NER-032,North Eastern Region,Manipur,Senapati,Senapati,25.27,94.26,high,mountain_corridor,representative_hotspot_reference,approximate_cluster_reference_point,True,True,Reference cluster only; use dynamic 7-color status only when supported by authoritative/current evidence.,Curated representative shortlist informed by ISRO/NRSC Landslide Atlas coverage and regional landslide-prone terrain; replace/augment with authoritative event geometries for production.
NER-033,North Eastern Region,Manipur,Ukhrul,Ukhrul,25.095,94.36,high,mountain_terrain,representative_hotspot_reference,approximate_cluster_reference_point,True,True,Reference cluster only; use dynamic 7-color status only when supported by authoritative/current evidence.,Curated representative shortlist informed by ISRO/NRSC Landslide Atlas coverage and regional landslide-prone terrain; replace/augment with authoritative event geometries for production.
NER-034,North Eastern Region,Manipur,Tamenglong,Tamenglong,24.98,93.5,high,mountain_terrain,representative_hotspot_reference,approximate_cluster_reference_point,True,True,Reference cluster only; use dynamic 7-color status only when supported by authoritative/current evidence.,Curated representative shortlist informed by ISRO/NRSC Landslide Atlas coverage and regional landslide-prone terrain; replace/augment with authoritative event geometries for production.
NER-035,North Eastern Region,Manipur,Jiribam,Jiribam-Imphal corridor,24.8,93.12,high,highway_corridor,representative_hotspot_reference,approximate_cluster_reference_point,True,True,Reference cluster only; use dynamic 7-color status only when supported by authoritative/current evidence.,Curated representative shortlist informed by ISRO/NRSC Landslide Atlas coverage and regional landslide-prone terrain; replace/augment with authoritative event geometries for production.
NER-036,North Eastern Region,Nagaland,Kohima,Kohima,25.6751,94.1086,high,urban_hillslope,representative_hotspot_reference,approximate_cluster_reference_point,True,True,Reference cluster only; use dynamic 7-color status only when supported by authoritative/current evidence.,Curated representative shortlist informed by ISRO/NRSC Landslide Atlas coverage and regional landslide-prone terrain; replace/augment with authoritative event geometries for production.
NER-037,North Eastern Region,Nagaland,Peren,Peren,25.51,93.74,high,mountain_terrain,representative_hotspot_reference,approximate_cluster_reference_point,True,True,Reference cluster only; use dynamic 7-color status only when supported by authoritative/current evidence.,Curated representative shortlist informed by ISRO/NRSC Landslide Atlas coverage and regional landslide-prone terrain; replace/augment with authoritative event geometries for production.
NER-038,North Eastern Region,Nagaland,Wokha,Wokha,26.1,94.27,medium,mountain_terrain,representative_hotspot_reference,approximate_cluster_reference_point,True,True,Reference cluster only; use dynamic 7-color status only when supported by authoritative/current evidence.,Curated representative shortlist informed by ISRO/NRSC Landslide Atlas coverage and regional landslide-prone terrain; replace/augment with authoritative event geometries for production.
NER-039,North Eastern Region,Assam,Dima Hasao,Haflong,25.17,93.02,high,mountain_terrain,representative_hotspot_reference,approximate_cluster_reference_point,True,True,Reference cluster only; use dynamic 7-color status only when supported by authoritative/current evidence.,Curated representative shortlist informed by ISRO/NRSC Landslide Atlas coverage and regional landslide-prone terrain; replace/augment with authoritative event geometries for production.
NER-040,North Eastern Region,Assam,Karbi Anglong,Diphu,25.84,93.43,medium,hill_terrain,representative_hotspot_reference,approximate_cluster_reference_point,True,True,Reference cluster only; use dynamic 7-color status only when supported by authoritative/current evidence.,Curated representative shortlist informed by ISRO/NRSC Landslide Atlas coverage and regional landslide-prone terrain; replace/augment with authoritative event geometries for production.
WG-001,Western Ghats,Kerala,Wayanad,Meppadi-Wayanad hills,11.55,76.13,high,rainfall_slope,representative_hotspot_reference,approximate_cluster_reference_point,True,True,Reference cluster only; use dynamic 7-color status only when supported by authoritative/current evidence.,Curated representative shortlist informed by ISRO/NRSC Landslide Atlas coverage and regional landslide-prone terrain; replace/augment with authoritative event geometries for production.
WG-002,Western Ghats,Kerala,Wayanad,Kalpetta,11.61,76.08,high,hill_terrain,representative_hotspot_reference,approximate_cluster_reference_point,True,True,Reference cluster only; use dynamic 7-color status only when supported by authoritative/current evidence.,Curated representative shortlist informed by ISRO/NRSC Landslide Atlas coverage and regional landslide-prone terrain; replace/augment with authoritative event geometries for production.
WG-003,Western Ghats,Kerala,Idukki,Munnar,10.0889,77.0595,high,mountain_terrain,representative_hotspot_reference,approximate_cluster_reference_point,True,True,Reference cluster only; use dynamic 7-color status only when supported by authoritative/current evidence.,Curated representative shortlist informed by ISRO/NRSC Landslide Atlas coverage and regional landslide-prone terrain; replace/augment with authoritative event geometries for production.
WG-004,Western Ghats,Kerala,Idukki,Adimali,10.01,76.96,high,rainfall_slope,representative_hotspot_reference,approximate_cluster_reference_point,True,True,Reference cluster only; use dynamic 7-color status only when supported by authoritative/current evidence.,Curated representative shortlist informed by ISRO/NRSC Landslide Atlas coverage and regional landslide-prone terrain; replace/augment with authoritative event geometries for production.
WG-005,Western Ghats,Kerala,Kozhikode,Thamarassery Ghat,11.48,75.92,high,highway_corridor,representative_hotspot_reference,approximate_cluster_reference_point,True,True,Reference cluster only; use dynamic 7-color status only when supported by authoritative/current evidence.,Curated representative shortlist informed by ISRO/NRSC Landslide Atlas coverage and regional landslide-prone terrain; replace/augment with authoritative event geometries for production.
WG-006,Western Ghats,Kerala,Malappuram,Nilambur,11.28,76.23,high,hill_terrain,representative_hotspot_reference,approximate_cluster_reference_point,True,True,Reference cluster only; use dynamic 7-color status only when supported by authoritative/current evidence.,Curated representative shortlist informed by ISRO/NRSC Landslide Atlas coverage and regional landslide-prone terrain; replace/augment with authoritative event geometries for production.
WG-007,Western Ghats,Kerala,Palakkad,Nelliampathy,10.52,76.69,medium,mountain_terrain,representative_hotspot_reference,approximate_cluster_reference_point,True,True,Reference cluster only; use dynamic 7-color status only when supported by authoritative/current evidence.,Curated representative shortlist informed by ISRO/NRSC Landslide Atlas coverage and regional landslide-prone terrain; replace/augment with authoritative event geometries for production.
